Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Days to Ship,Profit Margin %,Revenue Per Unit,Is Loss,Discount Level,Order Year,Order Month,Order Quarter,Fraud Flag,Stock_On_Hand,Reorder_Point,Lead_Time_Days,Units_Sold,Stock_After_Sale,Restock_Needed,Supplier,Warehouse,Unit_Cost,Inventory_Value,Stock_Status
3126,CA-2015-121720,2015-06-11,2015-06-12,First Class,JE-15610,Jim Epp,Corporate,United States,Lakeland,Florida,33801,South,OFF-ST-10003816,Office Supplies,Storage,Fellowes High-Stak Drawer Files,563.808,4,0.2,21.1428,1,3.75,140.95,0,Low,2015,6,Q2,0,142,40,5,4,138,0,StationeryHub,West Warehouse,135.67,19265.14,In Stock
1442,CA-2017-128160,2017-12-19,2017-12-24,Second Class,MM-17920,Michael Moore,Consumer,United States,San Francisco,California,94110,West,OFF-BI-10001510,Office Supplies,Binders,Deluxe Heavy-Duty Vinyl Round Ring Binder,36.672,2,0.2,11.46,5,31.25,18.34,0,Low,2017,12,Q4,0,428,80,3,2,426,0,PaperMart Direct,West Warehouse,12.61,5397.08,In Stock
4511,CA-2016-119935,2016-11-10,2016-11-14,Standard Class,KM-16225,Kalyca Meade,Corporate,United States,Springfield,Missouri,65807,Central,FUR-FU-10001085,Furniture,Furnishings,3M Polarizing Light Filter Sleeves,37.3,2,0.0,17.158,4,46.0,18.65,0,No Discount,2016,11,Q4,0,64,50,4,2,62,0,FurniCo Supplies,East Warehouse,10.07,644.48,In Stock
40,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,4,-7.14,70.69,1,Medium,2015,12,Q4,0,131,25,5,3,128,0,FurniCo Supplies,South Depot,75.74,9921.94,In Stock
4510,CA-2017-167003,2017-05-23,2017-05-29,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Los Angeles,California,90036,West,FUR-TA-10001520,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",171.288,3,0.2,-6.4233,6,-3.75,57.1,1,Low,2017,5,Q2,0,91,20,10,3,88,0,FurniCo Supplies,East Warehouse,59.24,5390.84,In Stock
1600,CA-2017-158876,2017-11-19,2017-11-21,Second Class,AB-10150,Aimee Bixby,Consumer,United States,Carrollton,Texas,75007,Central,OFF-AR-10003373,Office Supplies,Art,"Boston School Pro Electric Pencil Sharpener, 1670",99.136,4,0.2,8.6744,2,8.75,24.78,0,Low,2017,11,Q4,0,248,60,3,4,244,0,OfficeDepot Wholesale,East Warehouse,22.62,5609.76,In Stock
7364,CA-2016-127243,2016-11-28,2016-12-04,Standard Class,DS-13180,David Smith,Corporate,United States,Philadelphia,Pennsylvania,19140,East,TEC-PH-10004539,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,340.182,3,0.4,-73.7061,6,-21.67,113.39,1,Medium,2016,11,Q4,0,40,20,7,3,37,0,DigiSupply Co.,Central Hub,137.96,5518.4,In Stock
9952,CA-2017-121559,2017-06-01,2017-06-03,Second Class,HW-14935,Helen Wasserman,Corporate,United States,Indianapolis,Indiana,46203,Central,OFF-BI-10002072,Office Supplies,Binders,Cardinal Slant-D Ring Binders,17.38,2,0.0,8.69,2,50.0,8.69,0,No Discount,2017,6,Q2,0,182,80,3,2,180,0,StationeryHub,West Warehouse,4.34,789.88,In Stock
501,US-2016-105578,2016-05-30,2016-06-04,Standard Class,MY-17380,Maribeth Yedwab,Corporate,United States,Parker,Colorado,80134,West,OFF-BI-10001670,Office Supplies,Binders,Vinyl Sectional Post Binders,22.62,2,0.7,-15.08,5,-66.67,11.31,1,High,2016,5,Q2,0,201,80,3,2,199,0,StationeryHub,South Depot,18.85,3788.85,In Stock
4848,CA-2014-164469,2014-06-25,2014-06-27,Second Class,GK-14620,Grace Kelly,Corporate,United States,Salem,Oregon,97301,West,OFF-AR-10003478,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",71.632,11,0.2,17.908,2,25.0,6.51,0,Low,2014,6,Q2,0,274,60,3,11,263,0,OfficeDepot Wholesale,Central Hub,4.88,1337.12,In Stock
4569,CA-2015-111990,2015-11-08,2015-11-13,Standard Class,DB-13660,Duane Benoit,Consumer,United States,Houston,Texas,77095,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,10.476,6,0.8,-17.2854,5,-165.0,1.75,1,High,2015,11,Q4,0,410,80,3,6,404,0,PaperMart Direct,South Depot,4.63,1898.3,In Stock
2759,CA-2016-146171,2016-03-11,2016-03-15,Standard Class,JP-16135,Julie Prescott,Home Office,United States,Columbus,Georgia,31907,South,FUR-FU-10004270,Furniture,Furnishings,"Executive Impressions 13"" Clairmont Wall Clock",76.92,4,0.0,31.5372,4,41.0,19.23,0,No Discount,2016,3,Q1,0,252,50,4,4,248,0,FurniCo Supplies,South Depot,11.35,2860.2,In Stock
6221,CA-2016-160220,2016-10-20,2016-10-26,Standard Class,JS-16030,Joy Smith,Consumer,United States,Trenton,Michigan,48183,Central,OFF-ST-10000617,Office Supplies,Storage,Woodgrain Magazine Files by Perma,20.86,7,0.0,1.4602,6,7.0,2.98,0,No Discount,2016,10,Q4,0,127,40,5,7,120,0,PaperMart Direct,West Warehouse,2.77,351.79,In Stock
7730,US-2016-109260,2016-09-26,2016-10-01,Standard Class,TN-21040,Tanja Norvell,Home Office,United States,Tallahassee,Florida,32303,South,TEC-AC-10002637,Technology,Accessories,Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),431.976,3,0.2,-75.5958,5,-17.5,143.99,1,Low,2016,9,Q3,0,151,35,5,3,148,0,DigiSupply Co.,East Warehouse,169.19,25547.69,In Stock
714,US-2017-100048,2017-05-19,2017-05-24,Standard Class,RS-19765,Roland Schwarz,Corporate,United States,Mount Vernon,New York,10550,East,TEC-PH-10003012,Technology,Phones,Nortel Meridian M3904 Professional Digital phone,307.98,2,0.0,89.3142,5,29.0,153.99,0,No Discount,2017,5,Q2,0,119,20,7,2,117,0,TechSource Intl,West Warehouse,109.33,13010.27,In Stock
3298,US-2015-110569,2015-05-23,2015-05-30,Standard Class,EB-13870,Emily Burns,Consumer,United States,Phoenix,Arizona,85023,West,OFF-AP-10004708,Office Supplies,Appliances,Fellowes Superior 10 Outlet Split Surge Protector,121.792,4,0.2,13.7016,7,11.25,30.45,0,Low,2015,5,Q2,0,43,20,6,4,39,0,PaperMart Direct,West Warehouse,27.02,1161.86,In Stock
6753,CA-2016-154767,2016-06-28,2016-06-30,Second Class,BP-11155,Becky Pak,Consumer,United States,Paterson,New Jersey,7501,East,OFF-PA-10003039,Office Supplies,Paper,Xerox 1960,61.96,2,0.0,27.882,2,45.0,30.98,0,No Discount,2016,6,Q2,0,230,100,2,2,228,0,PaperMart Direct,Central Hub,17.04,3919.2,In Stock
6532,US-2017-107384,2017-12-04,2017-12-08,Standard Class,TP-21130,Theone Pippenger,Consumer,United States,Rochester,Minnesota,55901,Central,OFF-AR-10001315,Office Supplies,Art,Newell 310,8.8,5,0.0,2.552,4,29.0,1.76,0,No Discount,2017,12,Q4,0,209,60,3,5,204,0,PaperMart Direct,West Warehouse,1.25,261.25,In Stock
2040,CA-2015-122287,2015-06-18,2015-06-23,Standard Class,SN-20560,Skye Norling,Home Office,United States,Peoria,Arizona,85345,West,OFF-BI-10004656,Office Supplies,Binders,Peel & Stick Add-On Corner Pockets,4.536,7,0.7,-3.3264,5,-73.33,0.65,1,High,2015,6,Q2,0,388,80,3,7,381,0,OfficeDepot Wholesale,East Warehouse,1.12,434.56,In Stock
4029,CA-2017-139311,2017-08-11,2017-08-13,First Class,SF-20965,Sylvia Foulston,Corporate,United States,Bedford,Texas,76021,Central,OFF-BI-10004209,Office Supplies,Binders,"Fellowes Twister Kit, Gray/Clear, 3/pkg",12.864,8,0.8,-22.512,2,-175.0,1.61,1,High,2017,8,Q3,0,337,80,3,8,329,0,OfficeDepot Wholesale,South Depot,4.42,1489.54,In Stock
3119,CA-2015-121720,2015-06-11,2015-06-12,First Class,JE-15610,Jim Epp,Corporate,United States,Lakeland,Florida,33801,South,FUR-CH-10003312,Furniture,Chairs,Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs,1123.92,5,0.2,-182.637,1,-16.25,224.78,1,Low,2015,6,Q2,0,112,25,5,5,107,0,OfficePro Distributors,West Warehouse,261.31,29266.72,In Stock
669,CA-2014-156314,2014-12-24,2014-12-26,First Class,RP-19390,Resi Pölking,Consumer,United States,Cleveland,Ohio,44105,East,FUR-FU-10003096,Furniture,Furnishings,"Master Giant Foot Doorstop, Safety Yellow",30.36,5,0.2,8.7285,2,28.75,6.07,0,Low,2014,12,Q4,0,285,50,4,5,280,0,OfficePro Distributors,South Depot,4.33,1234.05,In Stock
4904,CA-2017-110884,2017-03-07,2017-03-12,Standard Class,SH-20395,Shahid Hopkins,Consumer,United States,New York City,New York,10035,East,OFF-LA-10003510,Office Supplies,Labels,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",91.59,3,0.0,42.1314,5,46.0,30.53,0,No Discount,2017,3,Q1,0,503,90,2,3,500,0,OfficeDepot Wholesale,West Warehouse,16.49,8294.47,In Stock
3051,US-2017-148054,2017-10-06,2017-10-11,Standard Class,NZ-18565,Nick Zandusky,Home Office,United States,Meridian,Idaho,83642,West,FUR-FU-10003247,Furniture,Furnishings,36X48 HARDFLOOR CHAIRMAT,41.96,2,0.0,2.9372,5,7.0,20.98,0,No Discount,2017,10,Q4,0,87,50,4,2,85,0,OfficePro Distributors,South Depot,19.51,1697.37,In Stock
3059,CA-2017-131492,2017-10-19,2017-10-24,Second Class,HH-15010,Hilary Holden,Corporate,United States,San Francisco,California,94110,West,FUR-FU-10003878,Furniture,Furnishings,"Linden 10"" Round Wall Clock, Black",30.56,2,0.0,10.3904,5,34.0,15.28,0,No Discount,2017,10,Q4,0,179,50,4,2,177,0,OfficePro Distributors,West Warehouse,10.08,1804.32,In Stock
108,CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,27.992,1,0.2,2.0994,5,7.5,27.99,0,Low,2017,11,Q4,0,83,20,7,1,82,0,DigiSupply Co.,Central Hub,25.89,2148.87,In Stock
3743,CA-2016-137848,2016-01-15,2016-01-21,Standard Class,WB-21850,William Brown,Consumer,United States,New York City,New York,10011,East,OFF-PA-10004285,Office Supplies,Paper,Xerox 1959,60.12,9,0.0,28.8576,6,48.0,6.68,0,No Discount,2016,1,Q1,0,376,100,2,9,367,0,PaperMart Direct,South Depot,3.47,1304.72,In Stock
4769,CA-2017-158883,2017-06-02,2017-06-03,Same Day,CS-11860,Cari Schnelling,Consumer,United States,Jacksonville,North Carolina,28540,South,OFF-PA-10004733,Office Supplies,Paper,Things To Do Today Spiral Book,25.344,4,0.2,9.1872,1,36.25,6.34,0,Low,2017,6,Q2,0,260,100,2,4,256,0,PaperMart Direct,West Warehouse,4.04,1050.4,In Stock
